BasePanel,CoolingWings
27.25,21.0
27.25,21.25
26.25,22.5
29.75,23.5
30.5,22.5
29.75,23.0
33.25,23.75
34.5,24.5
35.75,25.75
37.0,26.0
38.25,26.25
39.5,27.75
39.5,28.0
41.0,28.5
41.25,28.5
42.25,29.25
43.0,30.0
44.5,30.25
45.5,30.75
46.0,31.25
46.5,31.5
48.0,32.25
49.0,32.25
50.0,33.0
50.5,33.25
51.75,33.75
51.75,34.0
51.75,34.5
52.5,34.5
52.75,34.25
53.5,35.0
54.0,35.25
55.25,35.75
55.5,36.25
56.0,36.5
57.0,37.25
57.25,36.75
58.25,37.5
58.5,38.5
59.5,38.0
59.75,39.0
61.0,39.5
60.75,38.5
61.0,38.75
62.0,39.25
63.75,39.0
64.25,39.75
63.75,40.75
64.0,41.75
64.75,42.0
64.75,42.0
61.75,42.25
64.5,42.75
66.5,43.5
67.5,45.0
68.25,45.25
69.0,45.0
68.75,45.25
69.25,44.25
69.75,45.5
69.25,45.5
70.25,45.0
70.5,45.5
70.5,45.5
71.5,45.5
71.5,45.5
71.5,45.75
71.75,45.75
71.75,46.25
71.75,45.75
72.0,46.25
72.75,46.75
72.25,46.75
72.75,47.0
72.75,47.0
72.75,47.0
72.5,47.5
73.0,47.25
73.75,47.75
73.25,47.75
74.0,48.75
74.0,48.0
73.5,48.5
74.0,48.75
74.5,49.0
74.0,48.5
74.5,49.0
73.75,48.75
74.75,49.75
75.0,49.0
