BasePanel,CoolingWings
30.0,27.0
30.0,26.5
31.0,26.75
31.75,27.0
33.25,27.5
34.25,28.0
35.0,28.5
36.25,29.25
36.5,29.75
38.5,30.25
39.25,31.0
41.0,31.5
42.25,32.25
43.5,33.25
44.5,33.5
45.75,34.25
46.5,35.5
47.75,36.25
49.5,36.5
50.25,37.5
51.75,38.5
52.5,38.75
53.5,39.0
54.25,40.0
55.25,40.5
56.25,41.0
57.25,41.0
57.75,41.75
58.75,42.25
59.25,42.5
60.0,42.25
61.5,42.5
61.75,43.75
62.0,44.0
62.0,44.75
62.5,45.25
63.75,44.75
63.5,46.0
64.0,45.75
64.75,46.5
65.25,46.25
66.0,46.25
66.0,47.0
66.25,47.0
66.75,47.5
67.0,47.75
67.75,47.5
67.75,47.75
68.75,48.25
68.75,48.5
69.5,48.5
70.0,48.75
69.75,48.75
70.75,48.5
71.25,48.5
70.75,49.0
70.0,49.75
71.0,49.25
70.0,50.25
72.0,49.25
72.0,49.5
72.0,49.5
71.75,50.0
72.0,50.0
72.5,50.0
72.5,50.25
72.0,49.75
72.25,49.5
71.5,50.25
71.75,50.5
72.75,50.5
72.75,50.0
72.0,51.0
72.5,51.0
74.25,50.5
74.75,50.0
74.25,50.5
74.25,50.75
74.0,51.5
74.0,51.5
74.25,51.5
73.5,51.5
74.25,51.0
74.5,51.0
74.5,51.0
73.5,52.0
74.0,51.25
74.75,51.25
74.5,51.5
75.0,51.0
