BasePanel,CoolingWings,,From Tue Jun 28 09:48:27 2022 to Tue Jun 28 10:08:26 2022 :
35.75,34.25,,
33.75,32,,
34,34,,
34.25,33.75,,
35.25,32.5,,
34.5,33.5,,
35.75,34.25,,
39.5,35.75,,
40.25,37,,
37.75,38.75,,
38.75,36.5,,
38.25,37,,
39.25,36.5,,
38.5,37.5,,
40.75,36,,
40.25,36,,
40.75,36.25,,
38.25,34.75,,
38.5,35,,
38,36,,
38.25,36,,
38,36.25,,
38.75,36,,
38,36.25,,
37.25,35.25,,
37.5,35.25,,
37,34.75,,
37,33.75,,
37,33.75,,
37.25,34.25,,
37.75,35,,
38,34.75,,
37.25,35.25,,
36.75,35,,
37,35.5,,
37,35.75,,
37.75,35.75,,
39.5,39.25,,
41.5,41,,
43,43.25,,
43.5,42.5,,
46.5,42.75,,
45.75,42,,
44.5,39.5,,
0,37.75,,
43.25,36,,
41.75,35,,
42.25,35.5,,
42.25,34.5,,
42.25,36.25,,
42.25,36.25,,
40.5,37.75,,
42.25,36.5,,
42,36.5,,
40.5,36,,
40.75,36.25,,
41.25,36,,
40.25,36.5,,
40.75,35.5,,
41.25,36.5,,
